Gender,Annual Income,Company,Model,Transmission,Color,Price ($)
Male,600000,Dodge,Avenger,Auto,Black,16000
Male,500000,Saturn,LS,Manual,Pale White,14000
Female,420000,Dodge,Durango,Auto,Black,24000
Female,500000,Dodge,Ram Pickup,Auto,Pale White,39000
Female,1035000,Acura,TL,Manual,Pale White,14500
Female,960000,Volvo,S70,Auto,Pale White,20000
Male,2345000,Nissan,Pathfinder,Manual,Pale White,16500
Male,512000,Volkswagen,Passat,Auto,Pale White,31000
Male,820000,BMW,528i,Manual,Black,21000
Male,1050000,Mitsubishi,Diamante,Auto,Pale White,21000
Male,1326000,Toyota,RAV4,Manual,Black,85600
Female,1800000,Dodge,Caravan,Auto,Black,23000
Male,730000,BMW,323i,Manual,Pale White,21000
Male,880000,Mitsubishi,3000GT,Manual,Pale White,24000
Male,925000,Dodge,Ram Wagon,Auto,Black,22000
Male,480000,Volkswagen,GTI,Manual,Black,25000
Female,1835000,Plymouth,Neon,Manual,Pale White,22500
Male,13500,Jeep,Wrangler,Auto,Pale White,19000
Female,13500,Plymouth,Neon,Auto,Pale White,27000
Male,13500,Lexus,LS400,Auto,Pale White,18000
Female,13500,Plymouth,Voyager,Manual,Black,75000
Male,1635000,Plymouth,Prowler,Manual,Pale White,71500
Male,1705000,Saturn,SC,Manual,Pale White,61500
Male,1005000,Mitsubishi,Diamante,Auto,Pale White,21500
Male,920000,Lexus,LS400,Manual,Pale White,25000
Female,840000,Mercedes-B,CL500,Manual,Pale White,29000
Male,728000,Lexus,GS400,Auto,Black,12000
Male,980000,Dodge,Caravan,Auto,Black,23000
Male,1900000,Mitsubishi,Diamante,Manual,Pale White,19000
Male,1325000,Pontiac,Bonneville,Auto,Pale White,19500
Male,1200000,Mitsubishi,Diamante,Auto,Pale White,21000
Male,13500,Nissan,Frontier,Manual,Pale White,20000
Male,610000,Mitsubishi,Montero Sport,Manual,Pale White,29001
Male,1415000,Audi,A6,Manual,Black,25500
Male,685000,Dodge,Caravan,Auto,Pale White,19000
Female,637000,Acura,RL,Auto,Black,24000
Female,570000,Dodge,Ram Pickup,Manual,Pale White,20000
Male,926000,Buick,Regal,Auto,Black,19000
Male,610000,Oldsmobile,Intrigue,Manual,Pale White,37000
Female,700000,Mercedes-B,SLK,Manual,Pale White,17000
Male,1525000,Buick,Park Avenue,Manual,Black,29500
Male,1900000,Lexus,LS400,Auto,Pale White,46000
Female,960000,Acura,Integra,Auto,Black,45000
Male,720000,Ford,Mustang,Manual,Pale White,25000
Male,13500,Ford,Ranger,Manual,Black,25000
Male,715000,Chevrolet,Cavalier,Manual,Pale White,14000
Male,852000,Mercedes-B,SLK,Auto,Pale White,19000
Male,690000,Chevrolet,Lumina,Manual,Pale White,12000
Male,1030000,Acura,RL,Manual,Pale White,17000
Male,3200000,Chrysler,LHS,Auto,Black,26000
Male,13500,Toyota,Sienna,Manual,Black,27000
Male,13500,Jeep,Wrangler,Auto,Pale White,19000
Male,785000,Mitsubishi,Montero Sport,Manual,Pale White,29000
Male,725000,Mercedes-B,C-Class,Auto,Black,14000
Male,450000,Cadillac,Eldorado,Auto,Black,60000
Male,515000,Porsche,Boxter,Manual,Pale White,14000
Male,840500,Dodge,Avenger,Auto,Pale White,22500
Male,810000,Mitsubishi,Diamante,Manual,Black,22000
Male,1600000,Volvo,C70,Manual,Pale White,24000
Male,1325000,Honda,Accord,Manual,Black,43500
Male,13500,Toyota,Camry,Manual,Black,29000
Male,13500,Pontiac,Grand Prix,Auto,Pale White,42000
Male,2120000,Jeep,Grand Cherokee,Manual,Black,19000
Male,405000,Toyota,Celica,Manual,Pale White,14000
Female,1450000,Lincoln,Continental,Manual,Black,18000
Male,550000,Nissan,Xterra,Auto,Black,9000
Male,380000,Mercedes-B,SL-Class,Manual,Pale White,26000
Male,2830000,Ford,F-Series,Manual,Pale White,13000
Male,13500,Porsche,Boxter,Manual,Pale White,24000
Male,454000,Mercedes-B,SLK,Auto,Pale White,46000
Male,562000,Mercury,Sable,Auto,Pale White,39000
Male,1000000,Acura,TL,Auto,Pale White,24000
Female,680000,Pontiac,Grand Prix,Auto,Pale White,19000
Male,530000,Mercury,Villager,Auto,Black,28001
Male,895000,Oldsmobile,Silhouette,Auto,Black,60001
Female,600000,Mercury,Cougar,Manual,Pale White,22001
Male,805000,BMW,323i,Auto,Pale White,22001
Male,3150000,Plymouth,Neon,Manual,Pale White,22000
Male,1285000,Mitsubishi,Diamante,Auto,Pale White,21500
Male,685000,Toyota,4Runner,Manual,Black,25000
Male,878000,Mercedes-B,S-Class,Manual,Black,85000
Male,957000,Mitsubishi,3000GT,Manual,Pale White,21000
Male,2100000,Acura,RL,Auto,Black,24000
Male,13500,Audi,A8,Manual,Black,44000
Male,1435000,Cadillac,Eldorado,Manual,Pale White,31500
Male,1020000,Mercedes-B,SLK,Auto,Pale White,46000
Male,1041000,Ford,F-Series,Manual,Black,22100
Male,2260000,Jeep,Grand Cherokee,Manual,Pale White,21000
Male,13500,Honda,Accord,Manual,Pale White,14000
Female,13500,BMW,328i,Auto,Black,18000
Male,2060000,Volkswagen,Cabrio,Auto,Black,16000
Male,1650000,Pontiac,Sunfire,Auto,Black,18000
Female,985000,Volvo,C70,Manual,Black,36000
Male,820000,Mercedes-B,S-Class,Auto,Pale White,10000
Female,591000,Mitsubishi,Montero Sport,Auto,Black,45000
Male,800000,Oldsmobile,Intrigue,Auto,Pale White,45000
Male,1501000,Dodge,Dakota,Auto,Pale White,21100
Female,760000,Acura,TL,Auto,Black,28001
Female,1200000,Volkswagen,GTI,Auto,Pale White,25000
Male,565000,Chrysler,300M,Auto,Black,26000
Male,13500,Oldsmobile,Silhouette,Manual,Pale White,15000
Male,13500,Infiniti,I30,Auto,Black,21000
Male,752000,Lexus,GS400,Auto,Pale White,31001
Female,580000,Jeep,Grand Cherokee,Manual,Pale White,21001
Female,725000,Mercedes-B,CL500,Manual,Black,22001
Female,758000,Volkswagen,Jetta,Auto,Pale White,38000
Male,440000,Chrysler,300M,Auto,Black,26000
Female,970000,Mercury,Mystique,Auto,Pale White,29000
Male,755000,Lexus,GS400,Auto,Pale White,31000
Female,13500,Nissan,Altima,Auto,Pale White,21000
Female,862000,Ford,Contour,Auto,Pale White,62000
Male,1236000,Mitsubishi,Galant,Auto,Pale White,36600
Male,13500,Ford,Crown Victoria,Manual,Pale White,20000
Male,1750000,Nissan,Frontier,Manual,Black,53000
Male,1005000,Mitsubishi,Eclipse,Auto,Black,27500
Male,2010000,Acura,RL,Manual,Pale White,31000
Male,2250000,Plymouth,Neon,Auto,Pale White,27000
Male,900000,Chevrolet,Monte Carlo,Manual,Black,44000
Female,800000,Lincoln,Navigator,Auto,Black,19000
Female,1135000,Mitsubishi,Montero Sport,Auto,Pale White,53500
Male,1490000,Oldsmobile,Intrigue,Auto,Pale White,45000
Male,13500,Pontiac,Bonneville,Auto,Pale White,20000
Male,1230000,Ford,Windstar,Auto,Pale White,19000
Male,1650000,Volkswagen,GTI,Auto,Pale White,25000
Male,13500,Plymouth,Prowler,Manual,Pale White,16000
Male,685000,Chrysler,Concorde,Auto,Pale White,42000
Male,561000,Mercedes-B,SLK230,Auto,Black,33000
Male,13500,Ford,Expedition,Auto,Black,26000
Female,830000,Dodge,Durango,Auto,Black,19000
Male,424000,Cadillac,Eldorado,Manual,Pale White,31000
Male,1663000,Subaru,Outback,Manual,Pale White,49300
Male,1415000,Subaru,Forester,Manual,Pale White,17500
Male,13500,Volvo,S80,Manual,Pale White,25000
Male,660000,Oldsmobile,Intrigue,Auto,Pale White,45000
Male,13500,Volkswagen,GTI,Manual,Black,25000
Male,13500,Chevrolet,Monte Carlo,Manual,Pale White,17000
Female,663500,Mercedes-B,S-Class,Manual,Pale White,21500
Female,985000,Ford,Expedition,Auto,Black,26001
Male,700000,Subaru,Forester,Auto,Black,22001
Female,509500,Saab,3-Sep,Auto,Black,23501
Male,830000,Saturn,SC,Manual,Pale White,61000
Male,462500,Saturn,LW,Manual,Pale White,13500
Male,670000,Dodge,Durango,Auto,Black,24000
Male,675000,Mitsubishi,3000GT,Manual,Pale White,24000
